# Source: GENCODE
# Version: 43
# GenomeBuild: GRCh38
# URL: https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_43/gencode.v43.annotation.gtf.gz
# Assays:
# BiosampleAgnostic: True
# BiosampleTermName:
# BiosampleTermID:
# Metadata:
TSSChr	TSSStart	TSSEnd	GeneSymbol	GeneEnsemblID	GeneStrand
chr1	7853044	7853045	UTS2	ENSG00000049247	-
chr1	7943165	7943166	TNFRSF9	ENSG00000049249	-
chr1	7961653	7961654	PARK7	ENSG00000116288	+
chr1	8026333	8026334	ERRFI1	ENSG00000116285	-
chr1	8208671	8208672	LINC01714	ENSG00000227634	+
chr1	8318084	8318085	SLC45A1	ENSG00000162426	+
chr1	8817640	8817641	RERE	ENSG00000142599	-
chr1	8879092	8879093	ENO1	ENSG00000074800	-
chr1	8945833	8945834	CA6	ENSG00000131686	+
chr1	9026345	9026346	SLC2A7	ENSG00000197241	-
chr1	9069828	9069829	SLC2A5	ENSG00000142583	-
chr1	9129170	9129171	GPR157	ENSG00000180758	-
chr1	9182338	9182339	MIR34AHG	ENSG00000228526	-
chr1	9182203	9182204	LINC01759	ENSG00000234546	+
chr1	9234803	9234804	H6PD	ENSG00000049239	+
chr1	9292881	9292882	SPSB1	ENSG00000171621	+
chr1	9539468	9539469	SLC25A33	ENSG00000171612	+
chr1	9588873	9588874	TMEM201	ENSG00000188807	+
chr1	9651731	9651732	PIK3CD	ENSG00000171608	+
chr1	9824526	9824527	CLSTN1	ENSG00000171603	-
chr1	9910258	9910259	CTNNBIP1	ENSG00000178585	-
chr1	9943427	9943428	LZIC	ENSG00000162441	-
chr1	9943427	9943428	NMNAT1	ENSG00000173614	+
chr1	9997196	9997197	RBP7	ENSG00000162444	+
chr1	10032982	10032983	UBE4B	ENSG00000130939	+
chr1	10210705	10210706	KIF1B	ENSG00000054523	+
chr1	10398991	10398992	PGD	ENSG00000142657	+
chr1	10430101	10430102	APITD1-CORT	ENSG00000251503	+
chr1	10430101	10430102	CENPS	ENSG00000175279	+
chr1	10449718	10449719	CORT	ENSG00000241563	+
chr1	10472556	10472557	DFFA	ENSG00000160049	-
chr1	10474945	10474946	PEX14	ENSG00000142655	+
chr1	10796676	10796677	CASZ1	ENSG00000130940	-
chr1	10982037	10982038	C1orf127	ENSG00000175262	-
chr1	11012621	11012622	TARDBP	ENSG00000120948	+
chr1	11047239	11047240	MASP2	ENSG00000009724	-
chr1	11060034	11060035	SRM	ENSG00000116649	-
chr1	11099910	11099911	EXOSC10	ENSG00000171824	-
chr1	11262551	11262552	MTOR	ENSG00000198793	-
chr1	11189288	11189289	ANGPTL7	ENSG00000171819	+
chr1	11273197	11273198	UBIAD1	ENSG00000120942	+
chr1	11479237	11479238	DISP3	ENSG00000204624	+
chr1	11609530	11609531	LINC01647	ENSG00000235643	+
chr1	11654831	11654832	FBXO2	ENSG00000116661	-
chr1	11654856	11654857	FBXO44	ENSG00000132879	+
chr1	11664092	11664093	FBXO6	ENSG00000116663	+
chr1	11681214	11681215	MAD2L2	ENSG00000116670	-
chr1	11691723	11691724	DRAXIN	ENSG00000162490	+
chr1	11736084	11736085	AGTRAP	ENSG00000177674	+
chr1	11762192	11762193	C1orf167	ENSG00000215910	+
chr1	11806103	11806104	MTHFR	ENSG00000177000	-
chr1	11806095	11806096	CLCN6	ENSG00000011021	+
chr1	11847783	11847784	NPPA	ENSG00000175206	-
chr1	11858935	11858936	NPPB	ENSG00000120937	-
chr1	11926428	11926429	KIAA2013	ENSG00000116685	-
chr1	11934666	11934667	PLOD1	ENSG00000083444	+
chr1	11980180	11980181	MFN2	ENSG00000116688	+
chr1	12019241	12019242	MIIP	ENSG00000116691	+
chr1	12063376	12063377	TNFRSF8	ENSG00000120949	+
chr1	12167002	12167003	TNFRSF1B	ENSG00000028137	+
chr1	12230038	12230039	VPS13D	ENSG00000048707	+
chr1	12617731	12617732	DHRS3	ENSG00000162496	-
chr1	12644546	12644547	AADACL4	ENSG00000204518	+
chr1	12716114	12716115	AADACL3	ENSG00000188984	+
chr1	12746185	12746186	C1orf158	ENSG00000157330	+
chr1	12774847	12774848	PRAMEF12	ENSG00000116726	+
chr1	12791396	12791397	PRAMEF1	ENSG00000116721	+
chr1	12831410	12831411	PRAMEF11	ENSG00000239810	-
chr1	12848304	12848305	HNRNPCL4	ENSG00000179412	-
chr1	12848382	12848383	HNRNPCL3	ENSG00000277058	-
chr1	12848756	12848757	HNRNPCL1	ENSG00000179172	-
chr1	12857085	12857086	PRAMEF2	ENSG00000120952	+
chr1	12886201	12886202	PRAMEF4	ENSG00000243073	-
chr1	12942523	12942524	PRAMEF9	ENSG00000204505	-
chr1	13116854	13116855	HNRNPCL2	ENSG00000275774	-
chr1	13303542	13303543	PRAMEF10	ENSG00000187545	+
chr1	13303542	13303543	PRAMEF33	ENSG00000237700	+
chr1	13347134	13347135	PRAMEF13	ENSG00000279169	-
chr1	13347134	13347135	PRAMEF14	ENSG00000204481	-
chr1	13371947	13371948	PRAMEF19	ENSG00000204480	-
chr1	13389631	13389632	PRAMEF17	ENSG00000204479	+
chr1	13410449	13410450	PRAMEF20	ENSG00000204478	+
chr1	13513747	13513748	LRRC38	ENSG00000162494	-
chr1	13583756	13583757	PDPN	ENSG00000162493	+
chr1	13704854	13704855	PRDM2	ENSG00000116731	+
chr1	14598716	14598717	KAZN	ENSG00000189337	+
chr1	15153732	15153733	TMEM51	ENSG00000171729	+
chr1	15171624	15171625	C1orf195	ENSG00000204464	-
chr1	15247271	15247272	FHAD1	ENSG00000142621	+
chr1	15409894	15409895	EFHD2	ENSG00000142634	+
chr1	15438441	15438442	CTRC	ENSG00000162438	+
chr1	15456727	15456728	CELA2A	ENSG00000142615	+
chr1	15476100	15476101	CELA2B	ENSG00000215704	+
chr1	15524445	15524446	CASP9	ENSG00000132906	-
chr1	15526812	15526813	DNAJC16	ENSG00000116138	+
chr1	15585110	15585111	AGMAT	ENSG00000116771	-
chr1	15617457	15617458	DDI2	ENSG00000197312	+
chr1	15659712	15659713	RSC1A1	ENSG00000215695	+
chr1	15684302	15684303	PLEKHM2	ENSG00000116786	+
chr1	15736313	15736314	SLC25A34	ENSG00000162461	+
chr1	15742491	15742492	TMEM82	ENSG00000162460	+
chr1	15758759	15758760	FBLIM1	ENSG00000162458	+
chr1	15807699	15807700	UQCRHL	ENSG00000233954	-
chr1	15847863	15847864	SPEN	ENSG00000065526	+
chr1	15976132	15976133	ZBTB17	ENSG00000116809	-
chr1	16004235	16004236	C1orf64	ENSG00000183888	+
chr1	16018790	16018791	HSPB7	ENSG00000173641	-
chr1	16021990	16021991	CLCNKA	ENSG00000186510	+
chr1	16043735	16043736	CLCNKB	ENSG00000184908	+
chr1	16073632	16073633	FAM131C	ENSG00000185519	-
chr1	16156109	16156110	EPHA2	ENSG00000142627	-
chr1	16212671	16212672	ARHGEF19	ENSG00000142632	-
chr1	16237164	16237165	RSG1	ENSG00000132881	-
chr1	16352491	16352492	FBXO42	ENSG00000037637	-
chr1	16367029	16367030	SZRD1	ENSG00000055070	+
chr1	16437424	16437425	SPATA21	ENSG00000187144	-
chr1	16440671	16440672	NECAP2	ENSG00000157191	+
chr1	16535652	16535653	LINC01783	ENSG00000233421	-
chr1	16538723	16538724	FAM231B	ENSG00000268674	+
chr1	16613605	16613606	NBPF1	ENSG00000219481	-
chr1	16921949	16921950	CROCC	ENSG00000058453	+
chr1	16980678	16980679	MFAP2	ENSG00000117122	-
chr1	17011972	17011973	ATP13A2	ENSG00000159363	-
chr1	17054170	17054171	SDHB	ENSG00000117118	-
chr1	17119453	17119454	PADI2	ENSG00000117115	-
chr1	17205125	17205126	PADI1	ENSG00000142623	+
chr1	17249097	17249098	PADI3	ENSG00000142619	+
chr1	17308194	17308195	PADI4	ENSG00000159339	+
chr1	17372195	17372196	PADI6	ENSG00000276747	+
chr1	17439754	17439755	RCC2	ENSG00000179051	-
chr1	17539834	17539835	ARHGEF10L	ENSG00000074964	+
chr1	17755312	17755313	ACTL8	ENSG00000117148	+
chr1	18065656	18065657	LINC01654	ENSG00000261781	+
chr1	18107745	18107746	IGSF21	ENSG00000117154	+
chr1	18480929	18480930	KLHDC7A	ENSG00000179023	+
chr1	18631005	18631006	PAX7	ENSG00000009709	+
chr1	18859661	18859662	TAS1R2	ENSG00000179002	-
chr1	18902799	18902800	ALDH4A1	ENSG00000159423	-
chr1	18956332	18956333	IFFO2	ENSG00000169991	-
chr1	19210252	19210253	UBR4	ENSG00000127481	-
chr1	19251559	19251560	EMC1	ENSG00000127463	-
chr1	19251580	19251581	MRTO4	ENSG00000053372	+
chr1	19288786	19288787	AKR7A3	ENSG00000162482	-
chr1	19312146	19312147	AKR7A2	ENSG00000053371	-
chr1	19312245	19312246	PQLC2	ENSG00000040487	+
chr1	19485641	19485642	CAPZB	ENSG00000077549	-
chr1	19596976	19596977	MINOS1-NBL1	ENSG00000270136	+
chr1	19596976	19596977	MINOS1	ENSG00000173436	+
chr1	19643228	19643229	NBL1	ENSG00000158747	+
chr1	19665286	19665287	HTR6	ENSG00000158748	+
chr1	19800021	19800022	TMCO4	ENSG00000162542	-
chr1	19815278	19815279	RNF186	ENSG00000178828	-
chr1	19882394	19882395	OTUD3	ENSG00000169914	+
chr1	19923617	19923618	PLA2G2E	ENSG00000188784	-
chr1	19980439	19980440	PLA2G2A	ENSG00000188257	-
chr1	20070207	20070208	PLA2G5	ENSG00000127472	+
chr1	20119566	20119567	PLA2G2D	ENSG00000117215	-
chr1	20139329	20139330	PLA2G2F	ENSG00000158786	+
chr1	20177364	20177365	PLA2G2C	ENSG00000187980	-
chr1	20186486	20186487	UBXN10-AS1	ENSG00000187980	-
chr1	20186077	20186078	UBXN10	ENSG00000162543	+
chr1	20290918	20290919	VWA5B1	ENSG00000158816	+
chr1	20428794	20428795	LINC01141	ENSG00000236963	-
chr1	20486235	20486236	CAMK2N1	ENSG00000162545	-
chr1	20508181	20508182	MUL1	ENSG00000090432	-
chr1	20552438	20552439	FAM43B	ENSG00000183114	+
chr1	20588950	20588951	CDA	ENSG00000158825	+
chr1	20633454	20633455	PINK1	ENSG00000158828	+
chr1	20661544	20661545	DDOST	ENSG00000244038	-
chr1	20718017	20718018	KIF17	ENSG00000117245	-
chr1	20732640	20732641	SH2D5	ENSG00000189410	-
chr1	20786688	20786689	HP1BP3	ENSG00000127483	-
chr1	21176888	21176889	EIF4G3	ENSG00000075151	-
chr1	21290489	21290490	ECE1	ENSG00000117298	-
chr1	21440089	21440090	NBPF3	ENSG00000142794	+
chr1	21509357	21509358	ALPL	ENSG00000162551	+
chr1	21669363	21669364	RAP1GAP	ENSG00000076864	-
chr1	21783195	21783196	USP48	ENSG00000090686	-
chr1	21812264	21812265	LDLRAD2	ENSG00000187942	+
chr1	21937297	21937298	HSPG2	ENSG00000142798	-
chr1	21976893	21976894	CELA3B	ENSG00000219073	+
chr1	22001655	22001656	CELA3A	ENSG00000142789	+
chr1	22026048	22026049	LINC01635	ENSG00000228397	-
chr1	22025503	22025504	LINC00339	ENSG00000218510	+
chr1	22052626	22052627	CDC42	ENSG00000070831	+
chr1	22143026	22143027	WNT4	ENSG00000162552	-
chr1	22451850	22451851	ZBTB40	ENSG00000184677	+
chr1	22563501	22563502	EPHA8	ENSG00000070886	+
chr1	22636505	22636506	C1QA	ENSG00000173372	+
chr1	22643616	22643617	C1QC	ENSG00000159189	+
chr1	22652980	22652981	C1QB	ENSG00000173369	+
chr1	22710837	22710838	EPHB2	ENSG00000133216	+
chr1	22965430	22965431	LACTBL1	ENSG00000215906	-
chr1	23015850	23015851	C1orf234	ENSG00000227868	-
chr1	23019447	23019448	KDM1A	ENSG00000004487	+
chr1	23168858	23168859	LUZP1	ENSG00000169641	-
chr1	23194729	23194730	HTR1D	ENSG00000179546	-
chr1	23285518	23285519	LINC01355	ENSG00000261326	-
chr1	23344364	23344365	HNRNPR	ENSG00000125944	-
chr1	23368386	23368387	ZNF436	ENSG00000125945	-
chr1	23424779	23424780	TCEA3	ENSG00000204219	-
chr1	23484257	23484258	ASAP3	ENSG00000088280	-
chr1	23531220	23531221	E2F2	ENSG00000007968	-
chr1	23559794	23559795	ID3	ENSG00000117318	-
chr1	23627333	23627334	MDS2	ENSG00000197880	+
chr1	23691778	23691779	RPL11	ENSG00000142676	+
chr1	23743365	23743366	ELOA	ENSG00000011007	+
chr1	23778385	23778386	PITHD1	ENSG00000057757	+
chr1	23791155	23791156	LYPLA2	ENSG00000011009	+
chr1	23800544	23800545	GALE	ENSG00000117308	-
chr1	23825459	23825460	HMGCL	ENSG00000117305	-
chr1	23868369	23868370	FUCA1	ENSG00000179163	-
chr1	23913327	23913328	CNR2	ENSG00000188822	-
chr1	23959810	23959811	PNRC2	ENSG00000189266	+
chr1	23980463	23980464	SRSF10	ENSG00000188529	-
chr1	24112175	24112176	MYOM3	ENSG00000142661	-
chr1	24143285	24143286	IL22RA1	ENSG00000142677	-
chr1	24187275	24187276	IFNLR1	ENSG00000185436	-
chr1	24319321	24319322	GRHL3	ENSG00000158055	+
chr1	24413772	24413773	STPG1	ENSG00000001460	-
chr1	24415749	24415750	NIPAL3	ENSG00000001461	+
chr1	24502382	24502383	RCAN3AS	ENSG00000286061	-
chr1	24502896	24502897	RCAN3	ENSG00000117602	+
chr1	24556075	24556076	NCMAP	ENSG00000184454	+
chr1	24643102	24643103	SRRM1	ENSG00000133226	+
chr1	24745268	24745269	CLIC4	ENSG00000169504	+
chr1	24965010	24965011	RUNX3	ENSG00000020633	-
chr1	25232522	25232523	SYF2	ENSG00000117614	-
chr1	25247519	25247520	RSRP1	ENSG00000117616	-
chr1	25272485	25272486	RHD	ENSG00000187010	+
chr1	25338297	25338298	TMEM50A	ENSG00000183726	+
chr1	25420872	25420873	RHCE	ENSG00000188672	-
chr1	25430857	25430858	TMEM57	ENSG00000204178	+
chr1	25543584	25543585	LDLRAP1	ENSG00000157978	+
chr1	25617467	25617468	MAN1C1	ENSG00000117643	+
chr1	25800175	25800176	SELENON	ENSG00000162430	+
chr1	25819905	25819906	MTFR1L	ENSG00000117640	+
chr1	25859458	25859459	AUNIP	ENSG00000127423	-
chr1	25871253	25871254	PAQR7	ENSG00000182749	-
chr1	25906502	25906503	STMN1	ENSG00000117632	-
chr1	25998157	25998158	PAFAH2	ENSG00000158006	-
chr1	26021779	26021780	EXTL1	ENSG00000158008	+
chr1	26046138	26046139	SLC30A2	ENSG00000158014	-
chr1	26067634	26067635	TRIM63	ENSG00000158022	-
chr1	26111776	26111777	PDIK1L	ENSG00000175087	+
chr1	26159019	26159020	FAM110D	ENSG00000197245	+
chr1	26169896	26169897	ZNF593	ENSG00000142684	+
chr1	26177489	26177490	CNKSR1	ENSG00000142675	+
chr1	26190627	26190628	CATSPER4	ENSG00000188782	+
chr1	26234152	26234153	CEP85	ENSG00000130695	+
chr1	26279721	26279722	SH3BGRL3	ENSG00000142669	+
chr1	26306704	26306705	UBXN11	ENSG00000158062	-
chr1	26317919	26317920	CD52	ENSG00000169442	+
chr1	26354130	26354131	AIM1L	ENSG00000176092	-
chr1	26372794	26372795	ZNF683	ENSG00000176083	-
chr1	26410767	26410768	LIN28A	ENSG00000131914	+
chr1	26432281	26432282	DHDDS	ENSG00000117682	+
chr1	26472410	26472411	HMGN2	ENSG00000198830	+
chr1	26529757	26529758	RPS6KA1	ENSG00000117676	+
chr1	26696030	26696031	ARID1A	ENSG00000117713	+
chr1	26787962	26787963	PIGV	ENSG00000060642	+
chr1	26826709	26826710	ZDHHC18	ENSG00000204160	+
chr1	26863141	26863142	SFN	ENSG00000175793	+
chr1	26890378	26890379	GPN2	ENSG00000142751	-
chr1	26900471	26900472	GPATCH3	ENSG00000198746	-
chr1	26914076	26914077	NR0B2	ENSG00000131910	-
chr1	26921721	26921722	NUDC	ENSG00000090273	+
chr1	26960410	26960411	KDF1	ENSG00000175707	-
chr1	26993703	26993704	TRNP1	ENSG00000253368	+
chr1	27012842	27012843	FAM46B	ENSG00000158246	-
chr1	27155130	27155131	SLC9A1	ENSG00000090020	-
chr1	27234515	27234516	WDTC1	ENSG00000142784	+
chr1	27322144	27322145	TMEM222	ENSG00000186501	+
chr1	27341991	27341992	SYTL1	ENSG00000142765	+
chr1	27366866	27366867	MAP3K6	ENSG00000142733	-
chr1	27374852	27374853	FCN3	ENSG00000142748	-
chr1	27383333	27383334	CD164L2	ENSG00000174950	-
chr1	27392643	27392644	GPR3	ENSG00000181773	+
chr1	27490187	27490188	WASF2	ENSG00000158195	-
chr1	27603494	27603495	AHDC1	ENSG00000126705	-
chr1	27635216	27635217	FGR	ENSG00000000938	-
chr1	27672213	27672214	IFI6	ENSG00000126709	-
chr1	27725978	27725979	FAM76A	ENSG00000009780	+
chr1	27773182	27773183	STX12	ENSG00000117758	+
chr1	27830813	27830814	PPP1R8	ENSG00000117751	+
chr1	27872542	27872543	THEMIS2	ENSG00000130775	+
chr1	27914797	27914798	RPA2	ENSG00000117748	-
chr1	27934954	27934955	SMPDL3B	ENSG00000130768	+
chr1	27959461	27959462	XKR8	ENSG00000158156	+
chr1	28088637	28088638	EYA3	ENSG00000158161	-
chr1	28176944	28176945	PTAFR	ENSG00000169403	-
chr1	28233031	28233032	DNAJC8	ENSG00000126698	-
chr1	28236090	28236091	ATPIF1	ENSG00000130770	+
chr1	28259451	28259452	SESN2	ENSG00000130766	+
chr1	28329001	28329002	MED18	ENSG00000130772	+
chr1	28438149	28438150	PHACTR4	ENSG00000204138	+
chr1	28505942	28505943	SNHG3	ENSG00000242125	+
chr1	28518232	28518233	RCC1	ENSG00000180198	+
chr1	28553016	28553017	TRNAU1AP	ENSG00000180098	+
chr1	28592199	28592200	RAB42	ENSG00000188060	+
chr1	28643092	28643093	TAF12	ENSG00000120656	-
chr1	28668727	28668728	GMEB1	ENSG00000162419	+
chr1	28736623	28736624	YTHDF2	ENSG00000198492	+
chr1	28812141	28812142	OPRD1	ENSG00000116329	+
chr1	28887090	28887091	EPB41	ENSG00000159023	+
chr1	29123909	29123910	TMEM200B	ENSG00000253304	-
chr1	29182125	29182126	SRSF4	ENSG00000116350	-
chr1	29230958	29230959	MECR	ENSG00000116353	-
chr1	29236515	29236516	PTPRU	ENSG00000060656	+
chr1	29350114	29350115	LINC01756	ENSG00000230523	-
chr1	30037612	30037613	LINC01648	ENSG00000233399	-
chr1	30723585	30723586	MATN1	ENSG00000162510	-
chr1	30757836	30757837	LAPTM5	ENSG00000162511	-
chr1	30908633	30908634	SDC3	ENSG00000162512	-
chr1	31065717	31065718	PUM1	ENSG00000134644	-
chr1	31239887	31239888	NKAIN1	ENSG00000084628	-
chr1	31296797	31296798	SNRNP40	ENSG00000060688	-
chr1	31296981	31296982	ZCCHC17	ENSG00000121766	+
chr1	31373288	31373289	FABP3	ENSG00000121769	-
chr1	31413812	31413813	SERINC2	ENSG00000168528	+
chr1	31518434	31518435	LINC01226	ENSG00000284543	+
chr1	31576484	31576485	TINAGL1	ENSG00000142910	+
chr1	31617699	31617700	HCRTR1	ENSG00000121764	+
chr1	31645237	31645238	PEF1	ENSG00000162517	-
chr1	31704167	31704168	COL16A1	ENSG00000084636	-
chr1	31764063	31764064	ADGRB2	ENSG00000121753	-
chr1	31816051	31816052	SPOCD1	ENSG00000134668	-
chr1	31919658	31919659	PTP4A2	ENSG00000184007	-
chr1	32013693	32013694	KHDRBS1	ENSG00000121774	+
chr1	32072898	32072899	TMEM39B	ENSG00000121775	+
chr1	32108042	32108043	KPNA6	ENSG00000025800	+
chr1	32179743	32179744	TXLNA	ENSG00000084652	+
chr1	32200385	32200386	CCDC28B	ENSG00000160050	+
chr1	32205634	32205635	IQCC	ENSG00000160051	+
chr1	32209093	32209094	DCDC2B	ENSG00000222046	+
chr1	32222371	32222372	TMEM234	ENSG00000160055	-
chr1	32221583	32221584	EIF3I	ENSG00000084623	+
chr1	32247216	32247217	FAM167B	ENSG00000183615	+
chr1	32251238	32251239	LCK	ENSG00000182866	+
chr1	32292106	32292107	HDAC1	ENSG00000116478	+
chr1	32336239	32336240	MARCKSL1	ENSG00000175130	-
chr1	32362243	32362244	FAM229A	ENSG00000225828	-
chr1	32362260	32362261	TSSK3	ENSG00000162526	+
chr1	32394461	32394462	BSDC1	ENSG00000160058	-
chr1	32465056	32465057	ZBTB8B	ENSG00000273274	+
chr1	32539144	32539145	ZBTB8A	ENSG00000160062	+
chr1	32650590	32650591	ZBTB8OS	ENSG00000176261	-
chr1	32651147	32651148	RBBP4	ENSG00000162521	+
chr1	32702760	32702761	SYNC	ENSG00000162520	-
chr1	32765633	32765634	KIAA1522	ENSG00000162522	+
chr1	32818032	32818033	YARS	ENSG00000134684	-
chr1	32825312	32825313	S100PBP	ENSG00000116497	+
chr1	32870813	32870814	FNDC5	ENSG00000160097	-
chr1	32886496	32886497	HPCA	ENSG00000121905	+
chr1	32901440	32901441	TMEM54	ENSG00000121900	-
chr1	32964813	32964814	RNF19B	ENSG00000116514	-
